text	|||	Refined_location
I waited over 1.5 hours to vote. Amazing that this election could be decided by people staying in the long lines and note giving up.	|||	DC
It took 1 and a half hours on line to vote... then i had to vote via affidavit bc they did not have me registered... when i very much am!!!	|||	NY
"Took two hours to vote.....
#damn"	|||	IA
2 hour lines to vote? What?	|||	NE
I waited over 2 hours today...and you have the right to do so as well! #stayinline Your vote DOES count!! #547votes #OHIO #fb #vote	|||	OH
"I walked to my poll with utility bill in hand to cast my vote, waited in line for a half hour but got turned back due to inadequate ID."	|||	MN
Took me 5 hours to vote in a non-swing state in 2008. And that was 4 days before the election.	|||	LA
@andersoncooper I waited over 2 hours in OH today...and it only took me 20 seconds to actually cast my ballot. #vote #election2012	|||	OH
"RT @workingmomfence: I just waited on line for an hour, in 37 degrees, to vote.  To keep warm, I exercised the shit out of my democracy. ..."	|||	NJ
"@CoupNBA Makes no sense. Thankfully, my polling center was within 5 minutes of my house. But I waited 3 hours to vote."	|||	NY
"""@AskYourMilitary: #StayInLine no matter how long you have to wait. YOUR vote counts!"" Waited two hours to vote #WorthIt #EveryVoteCounts"	|||	TX
"I only waited three minutes to vote, here in NYC. Gas, on the other hand, is a three hour wait."	|||	NY
I stood in line for 2.5 hours to vote and decided they needed my efficiency skills. Been working the poll since. #HowIBecameAPollWorker	|||	NY
I waited 30 min at my precinct to vote this AM.  I was getting impatient.  Just saw a friend has been in line 2 hours and has 1.5 left.	|||	FL
It took me 4 freaking hours to vote! This is a conspiracy!	|||	NY
My parents stood in line for 4 hours just to vote... ____	|||	FL
Took 2 hours to vote. #RocktheVote #election2012 #Vote2012	|||	MD
Took me 2 hours to vote in Broward County at 3pm. Freaking 3pm!!!!	|||	FL
@chellelynnadams lines were crazy long. I went in at 8 am and waited an hour and a half to vote.	|||	DC
"I enjoy election day! No matter who u support, to vote is a privilege &amp; I'm proud I stood in line for an hour. #CivicDuty #RedStateBlueState"	|||	IN
Today I waited in line for more than three hours with a 102 degree fever so I could vote. And I'd do it all over again if I had to.	|||	TX
@mforbeck I waited in line 2 hours this morning to vote. I virtually high-five everyone who voted!	|||	VA
@KiNGFoRBiDDeN: I waited an hour and a half to vote and half this shit was messed up	|||	FL
Damn I can't believe people had to wait on line for 3 hours to vote. Took me 10 minutes TOTAL	|||	NY
I waited in a line of over 400 people for over 2.5 hours but im proud to say that I got my VOTE in!!!	|||	MA
I was sent a to three sites and waited three hours but all in all I rocked my vote and I'm proud of it. Now we wait and pray!	|||	NY
"Stood in line for 2 hours. I just exercised my right to vote!!! It's all about the sticker, I got 3 :) http://t.co/GsVpbNUz"	|||	VA
@YourAnonNews I live in Texas and stood in line for an hour to vote #Green . #TimeWellSpent	|||	TX
"Hey @BarackObama, you could've sent us a couple pizza's while we waited 2.5 hours to vote for you!!"	|||	MI
"Just waited in line 5 hours to vote for @BarackObama . Don't let me down, bro! #stayinline #election2012"	|||	FL
Waited in line for over an hour to vote. Then o got a sticker... So worth it.	|||	TX
Just waited 3 hours to vote and still feel awesome. Hang in there everyone waiting in line! #election #NewYork #LongIsland #StonyBrook #vote	|||	NY
Record turnout in Virginia. I know...I waited 4 hours to vote this morning. But it's all worth it! #Election2012 #Obama2012	|||	VA
"Running out of ballots, 4 hour lines, broken machines. Time to leverage technology people #vote"	|||	MI
Took 2 hours to vote smh makes no sense	|||	NY
@paulbyrom Took me about 1/2 hour to get in and 2minutes to vote.	|||	NH
"And my vote for most dedicated voter goes to our girl,Vivian. Despite being 8 months pregnant, she stood in line for 3.5 hours to #vote!"	|||	VA
Waited 5 hours to vote... __	|||	SC
S/O to @Rashid55 for bringing @Kelli_Brennen and I Starbucks while we waited 2 1/2 hours in line to vote!!! :)	|||	OH
@katiecouric waited in line for 4+ hours today to vote for @BarackObama Voters are still in line to vote! #yourvote #yourvotefl	|||	FL
Now you see why I spent all day Friday trying to get a Florida photo ID and waited in line for 2 1/2 hours Saturday to vote in Florida.	|||	NY
"@kristenmkennedy sadly, in DC...but I stood in line for three hours to vote anyways! Woo hoo!"	|||	DC
@___Sharp It only took me an hour and 10mins to vote today... Not too bad. In 2004 I waited over 5 hours	|||	OH
@mc_frontalot I waited 2 hours in line to vote in VA. Hopefully it was worth the wait.	|||	VA
I finally got to vote. It only took 3 hours of waiting in line.	|||	MN
Just waited a little over 3 hours to vote. I earned that sticker.	|||	FL
"MUCH respect for those who stood in line for HOURS to vote #election2012m esp FL. I stood 1.5hrs, so can't imagine 4-5hrs"	|||	FL
Wow. I just waited for over 4 hours and then couldnt vote. I'm ready to kill people.	|||	FL
@gregtew took me 1.5 hours to vote in Iowa.	|||	IA
RT @hartramsey: My daughter stood in line for 8 hours to vote in Miami. This is serious business.	|||	GA
I find it unlikely that people had to wait 3-5 hours in line just to vote. Took me 30 seconds to wait in line. #elections2012	|||	CA
@princeagenor They had early voting for a couple days now its ridic. My friend down there said took her 4 hours to vote this morning	|||	MA
"I waited 1.5 hours today to vote-What Chaos on the Upper East Side 
Hoping all of votes counted
#ivoted #Election2012 http://t.co/a2kwXZAS"	|||	NY
Just waited in line for over 3 hours in the cold to vote #ridiculous	|||	MT
"Took me an hour and a half to vote today! So glad I got to vote, though!"	|||	TX
"Waited 4 hours to vote early on Saturday in Broward County. Many people left, assuming shorter waits tonight. D'oh..."	|||	FL
waited in line for about an hour to vote.. but it was worth it! :) #firsttimevoter #ElectionDay2012	|||	NY
@smilez4u1390 I stood in line for four hours today to vote! I am gonna have a panic attack watching these results!	|||	FL
People at UCF are still waiting to vote. People leaving now waited 4 1/2 hours to cast their ballot!	|||	FL
Waited in line 3 1/2 hours to vote for my president. He better win. To damn close.	|||	AL
@victoriaramirez I almost gave up. It took me nearly 4 hours to vote today. I'm registered Independent and a DC res... Why bother. :-/	|||	DC
@samrhall How long did it take you to vote? Took me over 2 hours--for some here it took 4. Crazy here in Virginia!	|||	VA
"@PatriciaGapske @_MoJuju_ Took us an hour &amp; 1/2 to vote. Busy, tense, but all good."	|||	NY
RT @keithboykin: Now you see why I spent all day Friday trying to get a Florida photo ID and waited in line for 2 1/2 hours Saturday to  ...	|||	MD
@AlecMapa It was a long hot 9 hour wait but I would have waited 12 hrs to vote for Obama if I had to do so. big bear hug	|||	FL
@JinBeautiful I waited an hour to vote. Least they can do is hook me up with a cool sticker!!!	|||	VA
